Acc_x,Acc_y,Acc_z,temp,humid,press
0.5488,0.6467999999999999,9.359,25.6,71.8,996.5
-0.294,0.7153999999999999,9.6334,25.7,71.8,996.5
-0.4508,0.5684,9.6138,25.7,71.8,996.5
-0.5194,0.588,9.6334,25.7,71.7,996.6
0.0196,0.588,9.594199999999999,25.7,71.7,996.6
0.245,0.5978,9.5354,25.7,71.7,996.6
0.2646,0.5684,9.5648,25.7,71.6,996.6
0.245,0.5978,9.5452,25.7,71.7,996.5
0.2842,0.5781999999999999,9.555,25.7,71.6,996.6
0.21559999999999999,0.588,9.5452,25.7,71.7,996.6
0.245,0.6076,9.525599999999999,25.7,71.7,996.6
0.3038,0.588,9.5354,25.7,71.8,996.6
0.12739999999999999,0.588,9.5648,25.7,71.7,996.6
0.41159999999999997,0.6076,9.555,25.7,71.8,996.6
0.34299999999999997,0.5781999999999999,9.5354,25.7,71.8,996.5
0.245,0.5978,9.555,25.7,71.8,996.5
0.1862,0.6076,9.5354,25.7,71.9,996.5
0.3626,0.5781999999999999,9.5354,25.7,72.0,996.5
0.3136,0.5781999999999999,9.5844,25.7,72.0,996.6
0.2646,0.6076,9.5452,25.7,72.0,996.6
0.294,0.6272,9.5648,25.7,72.1,996.5
0.3332,0.5978,9.5452,25.7,72.1,996.5
0.147,0.6076,9.525599999999999,25.7,72.1,996.5
0.2646,0.5194,9.5452,25.7,72.1,996.6
0.34299999999999997,0.5488,9.5746,25.8,72.1,996.5
0.4214,0.5978,9.5354,25.8,72.1,996.6
0.6076,0.5292,9.4962,25.8,72.1,996.6
0.4606,0.5488,9.5354,25.8,72.1,996.6
0.4214,0.5488,9.5354,25.8,72.1,996.5
0.4508,0.5488,9.5158,25.8,72.0,996.6
0.3822,0.5488,9.5452,25.8,72.1,996.5
0.4018,0.5978,9.5452,25.8,72.0,996.6
0.4704,0.5781999999999999,9.506,25.8,72.0,996.5
0.43119999999999997,0.5978,9.5354,25.8,72.0,996.5
0.5095999999999999,0.5684,9.5158,25.8,72.0,996.5
0.7448,0.49,9.456999999999999,25.8,72.0,996.5
0.7938,0.49979999999999997,9.456999999999999,25.8,72.0,996.5
0.588,0.5292,9.4962,25.8,72.0,996.5
0.441,0.5095999999999999,9.5844,25.8,72.0,996.5
0.21559999999999999,0.5292,9.388399999999999,25.8,72.1,996.5
2.5676,0.5978,8.9572,25.8,72.1,996.5
2.499,0.49,8.9964,25.8,72.3,996.5
3.4006,0.5095999999999999,8.7122,25.8,72.5,996.6
3.6456,0.43119999999999997,8.5848,25.8,72.6,996.5
3.5867999999999998,0.49979999999999997,8.6044,25.8,72.6,996.5
3.6162,0.5095999999999999,8.624,25.8,72.6,996.6
3.6848,0.48019999999999996,8.5554,25.8,72.7,996.5
3.626,0.5194,8.6044,25.8,72.8,996.6
3.675,0.49,8.5848,25.8,72.8,996.6
3.5966,0.5194,8.5848,25.8,72.6,996.6
3.6848,0.5194,8.5946,25.8,72.7,996.6
3.4692,0.49979999999999997,8.6534,25.8,72.7,996.6
3.4985999999999997,0.4704,8.6534,25.8,72.6,996.6
3.2634,0.49,8.7416,25.8,72.6,996.6
3.381,0.5095999999999999,8.7122,25.8,72.5,996.6
2.9694,0.5781999999999999,8.8592,25.8,72.4,996.6
3.0086,0.4704,8.9376,25.8,72.4,996.6
2.9008,0.4214,8.869,25.8,72.5,996.6
2.6852,0.5586,8.9964,25.8,72.4,996.6
2.7243999999999997,0.1372,8.8592,25.8,72.3,996.6
2.5774,0.5488,9.0356,25.8,72.4,996.6
2.0972,0.637,9.2904,25.8,72.3,996.6
1.8718,0.3626,9.5158,25.8,72.3,996.6
2.6852,0.147,9.2022,25.8,72.1,996.6
3.4398,-0.2352,9.7608,25.8,72.1,996.6
2.9106,-0.8231999999999999,10.3782,25.8,71.9,996.6
3.1555999999999997,-0.21559999999999999,9.163,25.8,71.8,996.5
1.8816,-0.441,6.4974,25.8,71.9,996.5
1.2152,-1.7052,10.3292,25.8,72.0,996.5
-1.5974,-1.6954,7.3892,25.7,72.2,996.5
-0.4018,-1.7542,8.0556,25.7,72.2,996.5
-0.0294,-2.0383999999999998,10.241,25.8,72.1,996.6
1.1368,0.3528,10.0548,25.8,72.4,996.5
-0.7938,-0.1862,7.9674,25.8,72.4,996.5
-0.7153999999999999,-1.3621999999999999,9.5354,25.8,72.6,996.5
-1.1956,-0.9016,9.1336,25.8,72.7,996.5
-2.6656,-1.6463999999999999,8.4672,25.8,72.6,996.5
-1.4896,-2.058,11.3288,25.8,72.7,996.5
-0.0196,-2.254,12.0834,25.8,72.6,996.5
-2.205,-2.2441999999999998,9.731399999999999,25.8,72.9,996.4
-2.1952,-1.1172,8.6044,25.8,73.0,996.5
-0.539,-0.9212,8.8004,25.8,73.1,996.4
-1.7052,1.1662,9.113999999999999,25.8,73.0,996.4
-3.1458,0.34299999999999997,5.9094,25.8,73.0,996.4
0.4508,1.7444,0.5095999999999999,25.8,73.1,996.5
5.311599999999999,8.0066,15.827,25.8,73.2,996.6
4.8216,0.3332,15.4056,25.7,73.2,996.6
8.0556,2.3813999999999997,9.731399999999999,25.7,73.3,996.6
2.8028,3.0282,8.967,25.7,73.5,996.6
2.597,2.4206,10.3684,25.7,73.5,996.5
1.7835999999999999,1.7247999999999999,8.4574,25.7,73.5,996.5
0.735,0.5781999999999999,7.6734,25.7,73.5,996.5
0.0,0.43119999999999997,8.0948,25.6,73.5,996.5
-0.0392,0.3136,8.8298,25.6,73.5,996.5
1.0388,0.48019999999999996,8.1046,25.6,73.4,996.5
0.48019999999999996,0.25479999999999997,9.5746,25.6,73.5,996.5
-0.637,0.98,10.417399999999999,25.7,73.5,996.5
-0.8722,1.0191999999999999,9.525599999999999,25.7,73.5,996.5
0.9016,0.6272,9.2414,25.7,73.5,996.5
0.637,0.7153999999999999,8.976799999999999,25.7,73.6,996.5
1.2152,0.9506,9.408,25.7,73.2,996.5
0.7252,-0.10779999999999999,9.3786,25.7,73.7,996.5
1.911,0.7056,9.525599999999999,25.7,73.3,996.5
2.9204,1.47,9.163,25.7,73.5,996.5
2.6852,0.882,9.4178,25.7,73.3,996.5
2.2932,0.5684,9.4962,25.6,73.4,996.5
2.9596,0.637,8.9278,25.6,73.3,996.5
3.479,0.6467999999999999,8.82,25.6,73.3,996.5
3.626,0.6859999999999999,8.6632,25.6,73.2,996.5
3.9494,0.5586,8.633799999999999,25.6,73.2,996.5
3.7239999999999998,0.4704,8.5162,25.6,73.2,996.5
3.6848,0.6664,8.427999999999999,25.7,73.2,996.6
4.361,1.1662,8.575,25.7,73.3,996.5
4.3414,0.7938,8.2614,25.7,73.2,996.6
4.3511999999999995,0.7153999999999999,8.2026,25.7,73.2,996.6
4.1062,0.7644,8.3888,25.7,73.2,996.5
4.165,0.8036,8.3006,25.7,73.2,996.5
4.165,0.7545999999999999,8.290799999999999,25.7,73.2,996.6
4.5276,0.98,8.1928,25.7,73.2,996.6
4.361,0.7742,8.2516,25.7,73.2,996.6
4.0278,0.48019999999999996,8.2614,25.7,73.2,996.5
3.92,0.588,8.3986,25.7,73.2,996.6
4.2434,0.9408,8.4084,25.7,73.0,996.5
3.6652,0.4704,8.5554,25.7,73.0,996.6
3.6848,0.4214,8.5554,25.7,73.0,996.6
3.6946,0.43119999999999997,8.5554,25.7,73.0,996.6
3.675,0.441,8.565199999999999,25.7,73.0,996.6
3.6456,0.441,8.5946,25.7,73.0,996.6
3.6456,0.441,8.5848,25.7,72.9,996.6
3.6456,0.43119999999999997,8.6044,25.7,72.8,996.6
3.626,0.441,8.5946,25.7,72.8,996.6
3.6162,0.4508,8.6044,25.7,72.8,996.6
3.6064,0.441,8.6044,25.7,72.8,996.6
3.6064,0.43119999999999997,8.6044,25.7,72.7,996.6
3.6064,0.43119999999999997,8.6044,25.7,72.5,996.5
3.6064,0.43119999999999997,8.6044,25.7,72.5,996.6
3.5966,0.441,8.6142,25.7,72.5,996.5
3.5966,0.43119999999999997,8.6044,25.7,72.5,996.5
3.5867999999999998,0.4508,8.6142,25.7,72.5,996.5
3.5966,0.4508,8.6142,25.7,72.5,996.6
3.5671999999999997,0.441,8.6142,25.7,72.4,996.6
3.5867999999999998,0.441,8.6044,25.7,72.5,996.6
3.5574,0.43119999999999997,8.633799999999999,25.7,72.5,996.6
3.577,0.441,8.6142,25.7,72.4,996.6
3.5671999999999997,0.4214,8.624,25.7,72.5,996.6
3.5574,0.4508,8.624,25.7,72.4,996.6
3.5476,0.43119999999999997,8.633799999999999,25.7,72.2,996.6
3.5867999999999998,0.43119999999999997,8.624,25.7,72.2,996.6
3.5476,0.441,8.633799999999999,25.7,72.2,996.6
3.5574,0.441,8.6142,25.7,72.1,996.5
3.577,0.43119999999999997,8.6142,25.7,72.2,996.6
3.5671999999999997,0.4214,8.633799999999999,25.7,72.1,996.6
3.4594,0.392,8.6632,25.7,72.2,996.6
3.5181999999999998,0.5194,8.633799999999999,25.7,72.3,996.6
3.4398,0.4704,8.6828,25.7,72.3,996.5
3.3613999999999997,0.539,8.6828,25.7,72.3,996.5
3.4104,0.49,8.7122,25.7,72.4,996.5
3.2927999999999997,0.4214,8.7416,25.7,72.3,996.5
3.234,0.4018,8.7808,25.7,72.3,996.6
3.283,0.41159999999999997,8.722,25.7,72.3,996.6
3.3222,0.3626,8.7318,25.7,72.3,996.6
3.2732,0.3136,8.702399999999999,25.7,72.4,996.6
3.2536,0.25479999999999997,8.7612,25.7,72.5,996.5
3.136,0.196,8.770999999999999,25.7,72.4,996.6
3.2927999999999997,0.294,8.7416,25.8,72.4,996.6
3.0968,0.49,8.8102,25.8,72.5,996.6
3.1262,0.441,8.839599999999999,25.8,72.4,996.6
3.2046,0.5586,8.8102,25.8,72.4,996.6
3.381,0.5488,8.6436,25.8,72.4,996.6
3.5084,0.49,8.633799999999999,25.8,72.3,996.6
3.4299999999999997,0.49979999999999997,8.6926,25.8,72.3,996.6
3.3418,0.539,8.7514,25.8,72.3,996.6
3.3712,0.5194,8.7612,25.8,72.3,996.6
3.2927999999999997,0.5292,8.7514,25.8,72.3,996.6
3.4692,0.5194,8.7122,25.8,72.3,996.6
3.675,0.5978,8.6044,25.8,72.2,996.6
3.5476,0.4704,8.6436,25.8,72.2,996.6
3.5867999999999998,0.5488,8.624,25.8,72.1,996.5
3.2536,0.5684,8.7416,25.8,72.3,996.6
3.4006,0.5292,8.673,25.8,71.9,996.6
3.3712,0.49979999999999997,8.702399999999999,25.8,72.1,996.6
3.3613999999999997,0.5586,8.722,25.8,72.1,996.6
3.3516,0.5292,8.7318,25.8,72.1,996.5
3.3712,0.5781999999999999,8.7318,25.8,72.1,996.6
3.3418,0.6076,8.7318,25.8,72.2,996.5
3.3613999999999997,0.539,8.7318,25.8,72.1,996.6
3.332,0.5194,8.722,25.8,72.2,996.6
3.3026,0.5095999999999999,8.7416,25.8,72.2,996.6
3.3418,0.6076,8.7318,25.8,72.1,996.6
3.332,0.5095999999999999,8.722,25.8,72.1,996.6
3.3026,0.5684,8.7416,25.8,72.1,996.6
3.3418,0.5095999999999999,8.7318,25.8,72.1,996.6
3.3222,0.5095999999999999,8.7318,25.8,72.1,996.6
3.332,0.5194,8.7416,25.8,72.1,996.6
3.3124,0.5684,8.7416,25.8,72.1,996.6
3.283,0.43119999999999997,8.7318,25.8,72.1,996.6
3.3222,0.5781999999999999,8.7318,25.8,72.1,996.5
3.3222,0.5194,8.7416,25.8,72.2,996.5
3.3418,0.5978,8.7416,25.8,72.1,996.6
3.3124,0.5781999999999999,8.7514,25.8,72.2,996.6
3.3418,0.5586,8.722,25.8,71.9,996.5
3.3516,0.49,8.722,25.8,72.2,996.6
3.3613999999999997,0.441,8.7122,25.8,72.1,996.6
3.332,0.4606,8.722,25.8,72.1,996.5
3.3418,0.5292,8.7416,25.8,72.1,996.6
3.3418,0.5586,8.7318,25.8,72.1,996.6
3.3516,0.5292,8.7416,25.8,72.1,996.6
3.3712,0.49979999999999997,8.7318,25.8,72.0,996.6
3.3712,0.5194,8.7122,25.8,71.9,996.5
3.3418,0.49,8.722,25.8,71.7,996.6
3.332,0.5194,8.7416,25.8,71.6,996.5
3.3516,0.4508,8.722,25.8,71.5,996.6
3.332,0.5194,8.7318,25.8,71.4,996.6
3.381,0.49,8.7318,25.8,71.2,996.6
3.3516,0.5292,8.722,25.8,71.0,996.6
3.3613999999999997,0.48019999999999996,8.722,25.8,0,996.6
3.3222,0.49,8.7416,25.8,71.0,996.6
