Acc_x,Acc_y,Acc_z,temp,humid,press
7.4872,-0.20579999999999998,5.341,25.6,72.9,995.7
7.4479999999999995,-0.245,5.3312,25.7,72.9,995.7
7.477399999999999,-0.25479999999999997,5.3018,25.7,72.9,995.7
7.408799999999999,-0.2352,5.3508,25.7,72.8,995.7
7.3892,-0.21559999999999999,5.3998,25.7,72.7,995.7
7.5264,-0.21559999999999999,5.2136,25.7,72.7,995.7
7.399,-0.2646,5.4193999999999996,25.8,72.7,995.7
7.4284,-0.2254,5.3606,25.8,72.7,995.7
7.4186,-0.25479999999999997,5.3606,25.8,72.7,995.7
7.497,-0.245,5.311599999999999,25.8,72.7,995.7
7.497,-0.2352,5.3018,25.8,72.6,995.7
7.3696,-0.245,5.4292,25.8,72.6,995.7
7.4872,-0.25479999999999997,5.3214,25.8,72.6,995.7
7.3793999999999995,-0.2352,5.39,25.8,72.6,995.7
7.4382,-0.2646,5.3312,25.8,72.6,995.7
7.4186,-0.25479999999999997,5.3704,25.8,72.5,995.7
7.4186,-0.25479999999999997,5.3606,25.8,72.5,995.7
7.4578,-0.245,5.3606,25.8,72.6,995.7
7.4382,-0.2646,5.3312,25.8,72.5,995.7
7.4284,-0.2352,5.341,25.8,72.5,995.7
7.399,-0.245,5.3606,25.8,72.4,995.7
7.3892,-0.245,5.380199999999999,25.8,72.4,995.7
7.399,-0.2646,5.3704,25.9,72.4,995.7
7.408799999999999,-0.25479999999999997,5.380199999999999,25.9,72.4,995.7
7.3892,-0.2744,5.3998,25.9,72.4,995.7
7.408799999999999,-0.2842,5.3998,25.9,72.3,995.7
7.399,-0.2254,5.4096,25.9,72.3,995.8
7.3304,-0.2842,5.4782,25.9,72.2,995.7
7.3892,-0.3038,5.3998,25.9,72.2,995.7
7.3793999999999995,-0.2646,5.4193999999999996,25.9,72.2,995.8
7.399,-0.2842,5.341,25.9,72.2,995.7
7.3696,-0.245,5.4292,25.9,72.2,995.7
7.1932,-0.25479999999999997,5.6251999999999995,25.9,72.1,995.8
6.928599999999999,-0.3626,5.928999999999999,25.9,72.1,995.8
7.3793999999999995,-0.3528,5.5565999999999995,25.9,72.1,995.7
6.6444,-0.0196,6.2328,25.9,72.1,995.7
6.713,-0.3822,6.3014,25.9,72.0,995.7
6.6346,-0.34299999999999997,6.3504,25.9,72.0,995.7
6.909,-0.25479999999999997,6.1642,25.9,72.0,995.7
6.9776,-0.4704,6.0367999999999995,25.9,71.8,995.7
6.713,-0.3136,6.0564,25.9,71.8,995.7
7.0462,-0.48019999999999996,5.791799999999999,25.9,71.9,995.7
6.9677999999999995,-0.20579999999999998,6.2425999999999995,25.9,72.0,995.7
7.0952,0.0588,5.978,25.9,72.0,995.7
6.7424,-0.4018,6.1152,25.9,72.0,995.7
7.2128,-2.2148,4.7824,25.9,71.9,995.7
7.2226,-0.2842,5.5762,25.9,71.8,995.7
6.5072,0.8526,6.762,25.9,71.8,995.7
