Acc_x,Acc_y,Acc_z,temp,humid,press
8.526,0.3136,3.5867999999999998,27.5,66.1,995.7
8.5064,0.2744,3.6357999999999997,27.6,66.1,995.7
8.4574,0.147,3.6848,27.6,66.0,995.7
8.4672,0.2744,3.5671999999999997,27.6,67.1,995.7
8.5162,0.1568,3.6064,27.7,69.5,995.7
8.5848,0.12739999999999999,3.5181999999999998,27.7,70.4,995.7
8.3398,-0.0294,3.6064,27.8,70.4,995.7
8.4378,-0.0294,3.6848,27.8,70.6,995.7
8.6044,0.0686,3.4888,27.8,70.8,995.7
8.5358,0.0098,3.479,27.9,71.4,995.7
8.6142,0.0588,3.4692,27.9,71.6,995.7
8.496599999999999,0.0686,3.6456,27.9,72.0,995.7
8.565199999999999,0.098,3.4985999999999997,27.9,72.3,995.7
8.5064,0.12739999999999999,3.5867999999999998,27.9,72.5,995.7
8.5358,0.0784,3.479,27.9,72.6,995.7
8.4868,0.0588,3.5574,27.9,72.8,995.8
8.5064,0.1176,3.5181999999999998,28.0,72.9,995.8
8.526,0.098,3.5476,28.0,73.1,995.7
8.5848,0.1862,3.4594,28.0,73.2,995.8
8.5358,0.147,3.5671999999999997,28.0,73.5,995.7
8.4574,0.1666,3.626,28.0,73.7,995.7
8.5456,0.196,3.5574,28.0,74.1,995.7
8.575,0.2254,3.5867999999999998,28.0,74.7,995.7
8.5162,0.2254,3.6848,28.0,75.5,995.7
8.4378,0.2254,3.8122,28.0,76.3,995.7
8.4574,0.21559999999999999,3.7338,28.0,76.8,995.7
8.5162,0.2254,3.6456,28.0,77.3,995.7
8.526,0.25479999999999997,3.6064,28.0,77.6,995.7
8.4672,0.2352,3.7142,28.1,78.0,995.7
8.427999999999999,0.21559999999999999,3.6848,28.1,78.1,995.7
8.5946,0.2254,3.5476,28.1,78.3,995.7
