Acc_x,Acc_y,Acc_z,temp,humid,press
-1.9893999999999998,3.1066,9.2022,27.9,63.8,996.0
-1.9796,3.1066,9.2022,28.0,63.8,996.0
-1.9796,3.1066,9.212,28.0,63.8,996.0
-1.9698,3.1066,9.1924,28.0,63.7,996.0
-1.9893999999999998,3.0968,9.1924,28.0,63.7,996.0
-1.9893999999999998,3.1066,9.2022,28.0,63.7,996.0
-1.9796,3.0968,9.212,28.0,63.7,996.0
-1.9796,3.0869999999999997,9.2022,28.0,63.7,996.0
-1.9796,3.1066,9.2022,28.0,63.7,996.0
-1.9796,3.1066,9.212,28.0,63.8,996.0
-1.9796,3.1066,9.2022,28.0,63.7,996.0
-1.9796,3.0968,9.212,28.0,63.7,996.0
-1.9893999999999998,3.1164,9.2022,28.0,63.6,996.0
-1.9796,3.1066,9.2022,28.0,63.7,996.0
-1.9796,3.0968,9.212,28.0,63.8,996.0
-1.9796,3.0968,9.2022,28.0,63.8,996.0
-1.9893999999999998,3.1066,9.2022,28.0,63.8,996.0
-1.9796,3.1066,9.182599999999999,28.0,63.9,996.0
-1.9893999999999998,3.0968,9.2218,28.0,63.8,996.0
-1.9796,3.1164,9.2022,28.0,63.8,996.0
-1.96,3.0772,9.2218,28.0,63.8,996.0
-1.9698,3.0968,9.2022,28.0,64.0,996.0
-1.9698,3.0968,9.212,28.0,63.9,996.0
-2.2736,3.0968,9.182599999999999,28.0,63.8,996.0
-2.3127999999999997,3.3222,9.163,28.0,63.8,996.0
-2.303,3.1948,9.3492,28.0,63.8,996.0
0.3332,0.8036,9.2414,28.0,63.7,996.0
-1.9502,2.8322,9.7804,28.0,63.6,996.0
-1.7149999999999999,2.0972,9.9568,28.1,63.8,996.0
-1.3132,1.8326,9.9274,28.1,63.8,996.0
-1.4112,3.4104,8.5162,28.1,63.8,996.0
-2.0776,2.4206,9.1924,28.1,63.8,996.0
-1.7738,3.185,8.8788,28.1,63.8,996.0
