Acc_x,Acc_y,Acc_z,temp,humid,press
4.5374,0.2744,8.290799999999999,27.3,60.4,995.7
4.3022,0.3822,8.232,27.4,60.6,995.7
4.361,0.20579999999999998,8.2124,27.4,60.4,995.7
4.4982,0.12739999999999999,8.2516,27.4,60.4,995.7
4.3414,0.1666,8.2026,27.4,60.4,995.8
4.4982,0.1862,8.1438,27.4,60.4,995.8
4.41,0.0784,8.1732,27.5,60.7,995.7
4.3022,0.1372,8.183,27.5,60.7,995.7
4.3904,0.0588,8.183,27.5,60.7,995.8
4.41,0.10779999999999999,8.153599999999999,27.5,60.4,995.8
4.508,0.2842,8.2026,27.5,60.4,995.8
4.4982,0.20579999999999998,8.232,27.5,60.1,995.7
4.4492,0.0784,8.1438,27.5,60.0,995.8
4.4197999999999995,0.098,8.2124,27.5,60.1,995.7
4.41,0.1568,8.183,27.5,60.5,995.7
4.5276,0.245,8.2124,27.5,60.7,995.8
4.4688,0.10779999999999999,8.183,27.5,60.4,995.7
4.4002,0.12739999999999999,8.1732,27.5,60.1,995.7
4.4786,0.049,8.1732,27.5,60.0,995.7
4.4296,0.20579999999999998,8.2026,27.5,59.9,995.8
4.4296,0.098,8.183,27.5,59.7,995.7
4.4296,0.294,8.084999999999999,27.5,59.8,995.8
4.4492,0.2352,8.1732,27.5,59.8,995.8
4.41,0.12739999999999999,8.1928,27.5,59.9,995.8
4.4786,0.1176,8.2124,27.5,60.1,995.8
4.4296,0.1568,8.1634,27.5,60.0,995.8
4.4197999999999995,0.1176,8.1732,27.5,60.0,995.8
4.3806,0.12739999999999999,8.2124,27.5,59.8,995.8
4.3806,0.1176,8.1634,27.5,59.8,995.8
4.4296,0.1372,8.183,27.5,59.7,995.8
4.4296,0.12739999999999999,8.2418,27.5,59.7,995.8
4.3806,0.12739999999999999,8.183,27.5,59.8,995.8
4.4197999999999995,0.0686,8.1438,27.5,59.7,995.8
