Acc_x,Acc_y,Acc_z,temp,humid,press
-0.9702,3.0183999999999997,9.3002,28.5,62.4,995.7
-0.9603999999999999,3.0673999999999997,9.408,28.6,62.5,995.7
-1.9893999999999998,3.0576,9.3296,28.6,62.5,995.7
-0.6467999999999999,2.6068,9.5746,28.6,62.5,995.7
-0.7448,3.6848,8.9964,28.6,62.5,995.7
-0.882,3.9787999999999997,8.9572,28.7,62.5,995.7
-0.294,3.7142,9.1728,28.7,62.4,995.7
-0.833,3.2634,9.212,28.7,62.4,995.7
-1.0191999999999999,3.1752,9.251199999999999,28.7,62.6,995.7
-1.078,3.6162,9.5746,28.7,62.4,995.7
3.3516,2.2736,8.359399999999999,28.7,62.4,995.7
4.0964,0.3724,8.0654,28.7,62.7,995.7
4.7138,1.3426,9.2218,28.7,62.8,995.7
3.6946,0.6566,8.6436,28.7,62.8,995.7
1.96,-0.9309999999999999,9.8588,28.7,62.9,995.7
-0.32339999999999997,1.1466,9.6824,28.7,62.8,995.7
-0.9506,1.6856,9.3394,28.7,62.8,995.7
-1.0682,3.0869999999999997,10.1136,28.7,62.6,995.7
0.5684,2.156,9.0846,28.7,62.5,995.7
0.41159999999999997,1.3916,9.6922,28.7,62.7,995.7
1.2152,-1.2935999999999999,9.2708,28.7,62.7,995.7
0.9898,0.0686,8.967,28.7,62.6,995.7
0.3038,0.539,9.0944,28.7,62.6,995.7
0.21559999999999999,1.0388,9.2414,28.7,62.6,995.7
-0.6174,0.6664,9.604,28.7,62.6,995.7
-0.9702,0.8134,9.4374,28.7,62.6,995.7
-0.0098,0.2352,9.31,28.7,62.7,995.7
0.4214,0.7545999999999999,9.0552,28.7,62.8,995.7
-0.0784,-0.4606,9.6432,28.7,63.0,995.7
0.0098,0.882,9.6726,28.7,63.0,995.7
-0.0882,0.8134,9.5844,28.7,63.2,995.7
-0.7252,1.6562,9.408,28.7,63.3,995.7
