Acc_x,Acc_y,Acc_z,temp,humid,press
1.2642,-0.049,9.456999999999999,27.2,63.0,995.7
1.7346,1.7247999999999999,9.2316,27.3,63.2,995.7
1.1172,1.3621999999999999,9.3982,27.4,63.4,995.7
2.0286,-2.1168,9.2904,27.4,63.6,995.7
1.8914,-0.4606,9.182599999999999,27.4,63.7,995.7
1.7247999999999999,-0.0098,9.2904,27.4,63.6,995.7
2.0188,-0.0686,9.163,27.4,63.6,995.7
2.156,-0.6076,9.1042,27.4,63.4,995.7
2.0678,-0.4704,9.0748,27.4,63.1,995.7
2.2834,-0.8917999999999999,9.0258,27.4,62.6,995.7
3.0968,-2.2148,8.565199999999999,27.4,62.5,995.7
2.989,-1.5582,8.6632,27.4,62.7,995.7
3.1948,-1.3426,8.5358,27.4,62.9,995.7
2.989,-1.323,8.702399999999999,27.4,63.0,995.7
3.0869999999999997,-1.2446,8.6828,27.4,63.2,995.7
3.0576,-1.2152,8.7514,27.4,63.4,995.7
3.038,-1.2249999999999999,8.6926,27.4,63.8,995.7
2.9792,-1.078,8.7318,27.4,64.0,995.7
3.0282,-1.1563999999999999,8.673,27.4,63.6,995.7
2.8811999999999998,-1.1466,8.7612,27.4,63.1,995.7
2.891,-1.1563999999999999,8.7416,27.4,63.2,995.7
2.7636,-1.0584,8.82,27.4,64.0,995.7
2.9497999999999998,-1.0682,8.7416,27.4,64.9,995.7
2.7048,-0.9898,8.8592,27.4,65.4,995.7
2.548,-1.0976,8.8984,27.4,65.7,995.7
2.646,-1.0682,8.8592,27.4,65.9,995.7
2.6166,-1.127,8.8298,27.4,66.0,995.7
2.2736,-0.8036,9.016,27.4,66.2,995.7
2.3716,-0.9506,8.9964,27.5,66.4,995.7
2.2834,-0.9309999999999999,8.976799999999999,27.5,66.7,995.7
2.3912,-1.0094,8.976799999999999,27.5,66.9,995.7
2.401,-0.8917999999999999,9.0062,27.5,67.0,995.7
2.6166,-0.9114,8.908199999999999,27.5,67.3,995.7
