Acc_x,Acc_y,Acc_z,temp,humid,press
-0.21559999999999999,0.9212,9.5648,28.2,76.1,1005.1
0.5292,0.784,9.5746,28.2,76.0,1005.1
1.1172,1.1466,9.2708,28.2,76.0,1005.1
2.0188,0.9212,9.016,28.2,75.9,1005.1
2.7342,-1.1368,8.9474,28.2,75.9,1005.1
2.4598,0.7056,8.5162,28.2,75.9,1005.1
2.3813999999999997,1.3328,8.9572,28.2,75.9,1005.1
3.038,0.196,9.0846,28.2,76.0,1005.1
2.9596,-0.1764,9.0062,28.2,75.9,1005.1
3.332,0.7448,8.5848,28.2,75.8,1005.1
3.6848,0.3038,8.5554,28.2,76.0,1005.1
3.9983999999999997,0.1764,8.134,28.2,75.9,1005.1
3.969,0.5684,8.183,28.2,76.0,1005.0
3.8318,0.48019999999999996,8.232,28.3,76.1,1005.1
4.2042,0.0098,8.2516,28.3,76.0,1005.1
3.9886,0.7448,8.134,28.3,76.1,1005.1
4.2042,0.7153999999999999,8.2516,28.3,76.2,1005.1
4.1748,0.48019999999999996,8.3006,28.3,76.2,1005.1
4.1748,0.6467999999999999,8.2614,28.3,76.2,1005.1
4.2924,0.588,7.9967999999999995,28.3,76.2,1005.1
3.479,1.3034,3.822,28.3,76.2,1005.1
4.8412,1.3916,11.514999999999999,28.3,76.2,1005.1
1.1172,1.4798,10.1038,28.3,76.0,1005.1
1.7052,1.1563999999999999,9.0748,28.3,75.9,1005.1
1.1563999999999999,0.7545999999999999,9.1924,28.3,75.9,1005.1
1.0094,1.2249999999999999,9.31,28.3,75.9,1005.1
0.882,1.2838,9.5452,28.3,75.8,1005.1
0.9309999999999999,1.029,9.4276,28.3,75.9,1005.1
0.7644,1.1074,9.5648,28.3,75.8,1005.1
0.6958,1.1956,9.4668,28.3,75.8,1005.1
0.7252,1.078,9.4276,28.3,75.8,1005.1
0.7742,1.0584,9.3786,28.3,75.9,1005.1
0.588,0.882,9.4668,28.3,75.9,1005.1
0.6566,1.0486,9.4962,28.3,75.9,1005.1
0.6272,0.9603999999999999,9.4766,28.3,75.8,1005.1
0.6174,0.98,9.456999999999999,28.3,75.9,1005.1
0.6272,0.9995999999999999,9.4766,28.3,75.8,1005.1
0.5978,1.0486,9.4178,28.3,75.8,1005.1
0.6566,1.0388,9.3786,28.3,75.9,1005.1
0.5292,1.0191999999999999,9.456999999999999,28.4,75.7,1005.1
0.5684,0.9995999999999999,9.4276,28.4,75.8,1005.1
0.6174,0.9212,9.4374,28.4,75.8,1005.1
0.49979999999999997,0.9995999999999999,9.4766,28.4,75.8,1005.1
0.6272,0.9702,9.3688,28.4,75.8,1005.1
0.6272,0.98,9.3982,28.4,75.8,1005.1
0.6272,1.0682,9.388399999999999,28.4,75.8,1005.1
0.588,1.0094,9.3786,28.4,75.7,1005.1
0.6762,0.9603999999999999,9.319799999999999,28.4,75.8,1005.1
0.6174,1.0388,9.3688,28.4,75.8,1005.1
0.5586,1.1466,9.4472,28.4,75.8,1005.1
0.6664,1.0877999999999999,9.3688,28.4,75.7,1005.1
0.6664,1.078,9.3688,28.4,75.7,1005.1
0.6467999999999999,1.078,9.4472,28.4,75.7,1005.1
0.6859999999999999,1.0486,9.4178,28.4,75.8,1005.1
0.6566,1.0682,9.4864,28.4,75.8,1005.1
0.6467999999999999,1.0191999999999999,9.525599999999999,28.4,75.7,1005.1
0.735,0.9702,9.3982,28.4,75.6,1005.1
0.7448,0.9898,9.3786,28.4,75.7,1005.1
0.6566,0.98,9.4472,28.4,75.6,1005.1
0.6859999999999999,0.9898,9.4472,28.4,75.7,1005.1
0.5781999999999999,1.0877999999999999,9.5158,28.4,75.8,1005.1
0.5978,1.1956,9.4766,28.4,75.8,1005.1
0.588,0.9995999999999999,9.5158,28.4,75.9,1005.1
0.7153999999999999,1.1172,9.388399999999999,28.4,75.8,1005.1
0.6762,1.2348,9.3786,28.4,75.7,1005.1
0.6762,1.176,9.4668,28.4,75.8,1005.1
0.735,1.2249999999999999,9.3492,28.4,75.8,1005.1
0.6566,1.2348,9.4472,28.4,75.7,1005.1
0.6664,1.1466,9.4766,28.4,75.7,1005.1
0.6467999999999999,1.1172,9.456999999999999,28.4,75.7,1005.1
0.784,1.1563999999999999,9.5452,28.4,75.6,1005.1
0.6859999999999999,1.1563999999999999,9.4472,28.4,75.7,1005.1
0.735,1.127,9.4276,28.4,75.6,1005.1
0.735,1.1172,9.4276,28.4,75.7,1005.1
0.6762,1.1074,9.4276,28.4,75.4,1005.1
0.7545999999999999,1.0682,9.4374,28.4,75.6,1005.2
0.6958,1.0486,9.388399999999999,28.4,75.6,1005.1
0.5488,1.0191999999999999,9.4668,28.4,75.5,1005.1
0.6859999999999999,1.029,9.4374,28.4,75.5,1005.1
0.5488,1.1563999999999999,9.4276,28.4,75.6,1005.1
0.6859999999999999,1.1074,9.4276,28.4,75.5,1005.1
0.6467999999999999,1.0486,9.456999999999999,28.4,75.5,1005.1
0.6958,1.0094,9.456999999999999,28.4,75.6,1005.1
0.6958,1.0486,9.456999999999999,28.4,75.5,1005.1
0.6859999999999999,0.9506,9.4472,28.4,75.5,1005.1
0.6174,0.9408,9.456999999999999,28.4,75.4,1005.1
0.7644,1.0191999999999999,9.2904,28.4,75.3,1005.1
0.5684,0.9309999999999999,9.456999999999999,28.4,75.4,1005.1
0.7448,0.8526,9.408,28.4,75.3,1005.1
0.6859999999999999,0.8428,9.4276,28.4,75.3,1005.1
0.7545999999999999,0.7938,9.4472,28.4,75.2,1005.1
0.7056,0.8623999999999999,9.4668,28.4,75.4,1005.1
0.6859999999999999,0.882,9.4276,28.4,75.2,1005.1
0.5684,0.9309999999999999,9.5648,28.4,75.3,1005.1
0.637,1.0976,9.4668,28.4,75.1,1005.1
0.6174,1.127,9.3002,28.4,75.2,1005.1
0.4704,1.2935999999999999,9.1042,28.4,75.1,1005.1
0.32339999999999997,0.8428,9.594199999999999,28.4,75.1,1005.1
0.3822,1.0191999999999999,9.5648,28.4,75.2,1005.1
0.48019999999999996,0.7153999999999999,9.525599999999999,28.4,75.2,1005.1
0.41159999999999997,0.9016,9.4864,28.4,75.3,1005.1
0.34299999999999997,0.784,9.506,28.4,75.3,1005.1
0.4214,0.6664,9.525599999999999,28.4,75.3,1005.1
0.4214,0.8526,9.4766,28.4,75.2,1005.1
0.4508,0.4606,9.31,28.4,75.2,1005.1
0.4508,0.784,9.3394,28.4,75.2,1005.1
0.3822,0.9114,9.4472,28.4,75.2,1005.1
0.3528,0.7056,9.5452,28.4,75.2,1005.1
0.49979999999999997,0.6566,9.4276,28.4,75.2,1005.1
0.43119999999999997,0.6076,9.4864,28.4,75.2,1005.1
0.3528,0.7056,9.4864,28.4,75.2,1005.1
0.3626,0.7644,9.4962,28.4,75.2,1005.1
0.48019999999999996,0.7644,9.456999999999999,28.4,75.2,1005.2
0.4606,0.6664,9.4668,28.5,75.3,1005.1
0.3626,0.6566,9.506,28.4,75.3,1005.1
0.4508,0.6958,9.4864,28.4,75.3,1005.1
0.2744,0.735,9.5746,28.4,75.2,1005.1
0.3136,0.735,9.5354,28.4,75.3,1005.1
0.34299999999999997,0.7644,9.506,28.4,75.2,1005.1
0.3332,0.8134,9.5354,28.4,75.3,1005.1
0.43119999999999997,0.588,9.3786,28.4,75.2,1005.1
0.25479999999999997,0.5095999999999999,9.3296,28.5,75.3,1005.1
-0.43119999999999997,0.6762,9.5746,28.5,75.3,1005.1
-1.4798,0.3038,9.4178,28.4,75.1,1005.1
-1.9991999999999999,0.2842,9.0944,28.4,75.4,1005.1
-1.8228,-0.2646,9.751,28.4,75.1,1005.1
-2.254,-0.294,8.8886,28.4,75.2,1005.1
-3.3418,1.3328,9.388399999999999,28.4,75.3,1005.1
-3.5181999999999998,1.3426,9.1042,28.4,75.2,1005.1
-2.8615999999999997,1.6268,9.2414,28.4,75.2,1005.1
-2.1462,2.2246,9.2806,28.4,75.2,1005.1
-1.0094,2.5088,9.3786,28.4,75.1,1005.1
-0.7448,2.7048,9.3002,28.4,75.2,1005.1
-0.637,2.6656,9.3296,28.4,75.0,1005.1
-0.784,2.7929999999999997,9.3002,28.4,75.1,1005.1
-0.8526,2.6362,9.3394,28.4,75.1,1005.1
-0.6566,2.6754,9.31,28.5,75.3,1005.1
-0.735,2.7832,9.2708,28.5,75.3,1005.1
-0.7448,2.7048,9.319799999999999,28.5,75.3,1005.1
-0.6958,2.6754,9.3296,28.5,75.2,1005.2
-0.7153999999999999,2.7342,9.3002,28.5,75.3,1005.1
-0.9212,2.7929999999999997,9.31,28.5,75.3,1005.1
-0.6958,2.842,9.261,28.5,75.3,1005.1
-0.8722,2.6068,9.3492,28.5,75.3,1005.1
-0.7448,2.7048,9.319799999999999,28.5,75.3,1005.1
-0.8036,2.6852,9.3296,28.5,75.3,1005.2
-0.5781999999999999,2.5774,9.3492,28.5,75.3,1005.1
-0.7644,2.6852,9.319799999999999,28.5,75.3,1005.1
-0.784,2.7048,9.31,28.5,75.4,1005.1
-0.7448,2.6852,9.319799999999999,28.5,75.4,1005.1
-0.7545999999999999,2.6852,9.319799999999999,28.5,75.4,1005.1
-0.7742,2.6852,9.319799999999999,28.5,75.4,1005.1
-0.784,2.7636,9.2806,28.5,75.6,1005.1
-0.784,2.6166,9.3394,28.5,75.4,1005.1
-0.5978,2.8125999999999998,9.3002,28.5,75.5,1005.2
-0.7252,2.7342,9.3002,28.5,75.5,1005.1
-0.7742,2.7048,9.319799999999999,28.5,75.4,1005.1
-0.6958,2.8518,9.2708,28.5,75.3,1005.1
-0.637,2.6557999999999997,9.3492,28.5,75.4,1005.1
-0.735,2.8811999999999998,9.2708,28.5,75.4,1005.1
-0.7545999999999999,2.842,9.2708,28.5,75.4,1005.1
-0.9702,2.8224,9.2904,28.5,75.5,1005.1
