Acc_x,Acc_y,Acc_z,temp,humid,press
2.401,1.1858,-10.1724,30.6,67.8,1007.0
2.4402,1.127,-10.1038,30.7,67.8,1006.9
2.4402,1.127,-10.2704,30.7,67.7,1007.0
2.3813999999999997,1.1563999999999999,-10.1822,30.7,67.7,1007.0
2.4499999999999997,1.078,-10.2018,30.8,67.8,1007.0
2.4402,1.078,-10.211599999999999,30.8,67.8,1007.0
2.4402,1.0877999999999999,-10.1822,30.8,67.9,1007.0
2.4794,1.0976,-10.1626,30.8,67.8,1007.0
2.4402,1.1074,-10.2508,30.8,67.8,1007.0
2.4598,1.078,-10.1822,30.8,67.8,1007.0
2.4794,1.0976,-10.1626,30.8,67.9,1007.0
2.4696,1.0486,-10.094,30.8,67.9,1007.0
2.4598,1.0976,-10.2312,30.8,67.7,1007.0
2.4794,1.0877999999999999,-10.1822,30.8,67.9,1007.0
2.4892,1.0584,-10.1822,30.8,67.8,1007.0
2.5185999999999997,1.0094,-10.241,30.8,67.8,1007.0
2.4794,1.0877999999999999,-10.2214,30.8,67.8,1007.0
2.4696,1.078,-10.1724,30.8,67.9,1007.0
2.5088,1.0388,-10.192,30.8,67.9,1007.0
2.4794,1.0388,-10.1528,30.8,67.8,1007.0
2.5185999999999997,1.0682,-10.1332,30.8,67.7,1007.0
2.499,1.029,-10.2214,30.8,67.6,1007.0
2.5382,1.0682,-10.1822,30.8,68.0,1007.0
2.4598,1.0584,-10.142999999999999,30.8,67.8,1007.0
2.5088,1.0976,-10.2018,30.8,67.6,1007.0
2.4696,1.0486,-10.142999999999999,30.8,67.6,1007.0
2.4696,1.0486,-10.192,30.8,67.5,1007.0
2.4402,0.9506,-10.2312,30.8,67.4,1007.0
2.4598,1.029,-10.2508,30.8,67.5,1007.0
2.4794,0.9603999999999999,-10.2606,30.8,67.3,1007.0
2.401,1.0094,-10.1724,30.8,67.3,1007.0
2.4598,1.0094,-10.2214,30.8,67.2,1007.0
2.4598,0.9114,-10.2312,30.8,67.6,1007.0
2.4206,0.98,-10.2214,30.8,67.3,1007.0
2.4598,0.9016,-10.1724,30.8,67.4,1007.0
2.4499999999999997,0.9309999999999999,-10.1332,30.8,67.6,1007.0
2.4499999999999997,0.9408,-10.1626,30.8,67.6,1007.0
2.4499999999999997,0.882,-10.29,30.8,67.8,1007.0
2.4108,0.9016,-10.1724,30.8,67.8,1007.0
2.401,0.8917999999999999,-10.2214,30.8,67.6,1007.0
2.4499999999999997,0.8722,-10.211599999999999,30.8,67.7,1007.0
2.4794,0.9212,-10.142999999999999,30.8,67.7,1007.0
2.4499999999999997,0.8623999999999999,-10.1822,30.8,67.8,1007.0
2.3618,0.9016,-10.2606,30.8,67.6,1007.0
2.3716,0.8526,-10.2606,30.8,67.7,1007.0
2.4499999999999997,0.882,-10.1724,30.8,67.7,1007.0
2.3618,0.8722,-10.2214,30.8,67.7,1007.0
2.4598,0.8526,-10.211599999999999,30.8,67.8,1007.0
2.401,0.8917999999999999,-10.1724,30.8,67.9,1007.0
2.4696,0.8428,-10.2606,30.8,67.6,1007.0
2.3618,0.8231999999999999,-10.241,30.8,67.9,1007.0
2.401,0.8722,-10.241,30.8,67.8,1007.0
2.401,0.8917999999999999,-10.2312,30.8,67.8,1007.0
2.4108,0.8917999999999999,-10.2018,30.8,67.8,1007.0
2.4206,0.9114,-10.2214,30.8,67.8,1007.0
