Acc_x,Acc_y,Acc_z,temp,humid,press
-0.9408,-0.1568,9.6432,28.0,74.3,995.8
-0.882,0.0294,9.6138,28.0,74.3,995.8
-0.833,-0.098,9.6334,28.1,74.3,995.8
-0.9114,-0.0196,9.594199999999999,28.1,74.0,995.8
-0.8231999999999999,-0.0196,9.6334,28.1,74.2,995.8
-0.8526,0.0,9.594199999999999,28.1,74.1,995.8
-0.8231999999999999,-0.0392,9.653,28.1,74.1,995.8
-0.8623999999999999,-0.049,9.662799999999999,28.1,74.2,995.8
-0.8428,-0.0294,9.6824,28.1,74.1,995.9
-0.8526,-0.0098,9.6922,28.1,74.1,995.9
-0.9114,0.1176,9.6138,28.1,74.1,995.8
-0.8231999999999999,0.0196,9.662799999999999,28.1,74.1,995.8
-0.882,0.0392,9.6236,28.1,74.1,995.8
-0.7938,-0.0392,9.6432,28.1,74.0,995.8
-0.833,0.0,9.604,28.1,74.0,995.8
-0.9408,-0.2744,9.653,28.1,74.0,995.8
-0.8428,-0.6174,9.604,28.1,74.1,995.8
-0.9898,0.12739999999999999,9.6334,28.2,74.0,995.8
-1.0877999999999999,-0.3528,9.7412,28.2,74.1,995.8
-1.2544,-0.0588,9.456999999999999,28.2,74.0,995.8
-1.4504,-0.2254,9.5354,28.2,74.0,995.9
-0.9702,-0.43119999999999997,9.6432,28.2,74.1,995.8
-1.274,-0.3626,9.4472,28.2,74.1,995.9
-1.274,-0.049,9.6138,28.2,74.2,995.8
-1.1074,-0.245,9.6334,28.2,74.2,995.8
-1.1956,-0.0098,9.7216,28.2,74.2,995.9
-1.323,-0.098,9.6432,28.2,74.2,995.9
-1.2249999999999999,-0.0588,9.5354,28.2,74.1,995.8
-1.1956,-0.12739999999999999,9.4962,28.2,74.2,995.8
-1.1074,-0.32339999999999997,9.4962,28.2,74.2,995.8
-1.078,-0.4704,9.7118,28.2,74.2,995.8
-1.2642,-0.3332,9.555,28.2,74.2,995.8
