Acc_x,Acc_y,Acc_z,temp,humid,press
-0.6859999999999999,-9.4766,-0.833,36.1,54.1,1007.2
-0.3332,-9.4276,-0.3332,36.2,54.1,1007.2
-0.49,-9.5452,-0.833,36.2,54.1,1007.2
-0.8722,-9.4668,-0.588,36.2,54.2,1007.2
-0.8036,-9.456999999999999,-1.127,36.2,54.2,1007.2
-0.7153999999999999,-9.388399999999999,-0.3136,36.2,54.1,1007.2
-0.8036,-9.4374,-0.9408,36.2,54.0,1007.2
-1.0191999999999999,-9.4374,-0.8722,36.2,54.2,1007.2
-1.127,-9.4472,-1.4896,36.2,54.3,1007.2
-1.2642,-9.4668,-1.176,36.2,54.1,1007.2
-0.8231999999999999,-9.4276,-0.784,36.2,54.1,1007.2
-0.882,-9.4864,-0.8722,36.2,54.2,1007.2
-0.5095999999999999,-9.4472,-0.9408,36.2,54.2,1007.2
-0.833,-9.4472,-0.8722,36.2,54.3,1007.2
-0.2254,-9.3786,-0.9506,36.2,54.2,1007.2
-0.6762,-9.4472,-1.3621999999999999,36.2,54.3,1007.2
-0.7742,-9.4668,-0.7545999999999999,36.2,54.3,1007.2
-0.6958,-9.3688,-0.6272,36.2,54.4,1007.2
-0.5488,-9.408,-0.7644,36.2,54.4,1007.2
-0.588,-9.2806,-1.0877999999999999,36.2,54.2,1007.2
-1.323,-9.4864,-0.9016,36.2,54.4,1007.2
-0.6664,-9.4472,-0.6174,36.2,54.3,1007.2
-0.8526,-9.4766,-1.0486,36.2,54.4,1007.2
-0.9016,-9.456999999999999,-0.882,36.2,54.4,1007.2
-0.6467999999999999,-9.456999999999999,-1.078,36.2,54.4,1007.2
-0.7644,-9.4472,-0.9309999999999999,36.2,54.6,1007.2
-0.8722,-9.4472,-0.6566,36.2,54.4,1007.2
-1.0094,-9.359,-0.588,36.2,54.4,1007.2
-0.5781999999999999,-9.506,-1.0486,36.2,54.3,1007.2
-1.5582,-9.4864,-0.8917999999999999,36.2,54.3,1007.2
-0.49,-9.3688,-0.3822,36.2,54.4,1007.2
-0.6467999999999999,-9.456999999999999,-0.8428,36.2,54.4,1007.2
-0.5292,-9.4668,-0.6958,36.2,54.1,1007.2
-0.5978,-9.4472,-0.6762,36.2,54.2,1007.2
-0.3626,-9.4374,-0.7056,36.2,54.4,1007.2
-0.7742,-9.4668,-0.735,36.2,54.4,1007.2
-0.7545999999999999,-9.4766,-0.8722,36.2,54.5,1007.2
-0.5095999999999999,-9.456999999999999,-0.9016,36.1,54.4,1007.2
-1.3524,-9.3688,-1.96,36.1,54.5,1007.2
-1.3328,-9.3394,-1.764,36.1,54.5,1007.2
