Acc_x,Acc_y,Acc_z,temp,humid,press
8.3398,0.5978,4.0376,32.1,58.2,995.5
8.3398,0.5978,4.0474,32.1,58.2,995.5
8.33,0.5978,4.0474,32.2,58.2,995.5
8.3398,0.5978,4.0376,32.2,58.2,995.5
8.33,0.5978,4.0474,32.2,58.1,995.5
8.33,0.6076,4.0376,32.2,58.1,995.5
8.33,0.5978,4.0474,32.2,58.1,995.5
8.33,0.5978,4.0572,32.2,58.0,995.5
8.3398,0.6076,4.0572,32.2,58.1,995.5
8.3398,0.588,4.0572,32.2,58.0,995.5
8.3398,0.588,4.0572,32.2,58.0,995.4
8.3398,0.5978,4.0376,32.2,58.0,995.5
8.3398,0.5978,4.0474,32.2,58.0,995.5
8.3398,0.588,4.0572,32.2,57.9,995.5
8.33,0.5978,4.0572,32.2,57.9,995.4
8.3398,0.5978,4.0572,32.2,57.8,995.5
8.3398,0.5978,4.0474,32.2,57.8,995.5
8.3398,0.5978,4.0474,32.2,57.8,995.5
8.3398,0.5978,4.0376,32.2,57.8,995.5
8.33,0.588,4.0572,32.2,57.7,995.5
8.33,0.5978,4.0572,32.3,57.8,995.5
8.3398,0.5978,4.0474,32.3,57.7,995.5
8.33,0.6076,4.0376,32.3,57.7,995.5
8.33,0.588,4.0572,32.3,57.7,995.5
8.33,0.588,4.0572,32.3,57.7,995.5
8.33,0.588,4.0572,32.3,57.7,995.5
8.33,0.5978,4.0474,32.3,57.7,995.5
8.33,0.5978,4.0572,32.3,57.7,995.5
8.3398,0.5978,4.0572,32.3,57.8,995.4
8.33,0.588,4.0572,32.3,57.7,995.5
8.3398,0.5978,4.0474,32.3,57.8,995.4
