Acc_x,Acc_y,Acc_z,temp,humid,press
0.9212,10.5938,-0.4018,35.6,49.5,1006.7
0.8722,10.623199999999999,-0.8036,35.6,49.4,1006.8
1.0388,10.554599999999999,-0.2646,35.7,49.4,1006.8
0.49,10.6526,-0.21559999999999999,35.7,49.5,1006.8
0.8526,10.5056,-0.0588,35.7,49.4,1006.8
0.9898,10.584,-0.2646,35.7,49.4,1006.8
0.8526,10.5742,-0.4018,35.7,49.4,1006.8
0.9212,10.5938,-0.392,35.7,49.4,1006.8
1.2446,10.4664,-0.25479999999999997,35.7,49.4,1006.8
0.9309999999999999,10.623199999999999,-0.4214,35.7,49.3,1006.8
1.0682,10.6036,-0.5095999999999999,35.7,49.3,1006.8
1.2152,10.4566,-0.1568,35.7,49.4,1006.8
1.029,10.554599999999999,-0.4606,35.7,49.3,1006.8
1.2446,10.7506,-0.7448,35.7,49.3,1006.8
0.34299999999999997,10.5644,-0.48019999999999996,35.7,49.3,1006.8
0.3626,10.6134,-0.5292,35.7,49.3,1006.8
0.48019999999999996,10.5644,-0.6958,35.7,49.3,1006.8
0.41159999999999997,10.584,-0.5781999999999999,35.7,49.3,1006.7
0.4018,10.838799999999999,-0.6566,35.7,49.3,1006.8
0.4704,10.623199999999999,-0.6566,35.7,49.3,1006.8
0.49,10.6036,-0.588,35.7,49.3,1006.8
0.43119999999999997,10.5644,-0.5194,35.7,49.3,1006.8
0.4704,10.966199999999999,-0.6174,35.7,49.3,1006.8
0.3626,10.8192,-0.6272,35.7,49.3,1006.7
0.2842,10.4664,-0.5194,35.7,49.2,1006.8
0.3332,10.29,-0.5292,35.7,49.2,1006.7
0.294,10.535,-0.5978,35.7,49.2,1006.7
0.441,10.437,-0.5781999999999999,35.8,49.2,1006.7
0.4508,10.4272,-0.5292,35.8,49.2,1006.7
0.3724,10.5448,-0.5781999999999999,35.8,49.2,1006.8
0.6272,10.682,-0.3822,35.8,49.2,1006.8
0.4018,10.8192,-0.5684,35.8,49.2,1006.8
0.4606,10.8192,-0.4508,35.8,49.2,1006.7
0.5488,10.9172,-0.41159999999999997,35.8,49.2,1006.7
0.4606,10.8486,-0.3626,35.8,49.2,1006.7
0.6467999999999999,10.7506,-0.4018,35.8,49.2,1006.7
0.7252,10.535,-0.3038,35.8,49.2,1006.7
0.8036,10.6722,-0.2254,35.8,49.2,1006.7
0.3332,10.8682,-0.5586,35.8,49.2,1006.7
0.41159999999999997,10.878,-0.539,35.8,49.2,1006.7
0.4214,10.8486,-0.588,35.8,49.2,1006.7
0.5292,10.5742,0.098,35.8,49.2,1006.7
0.3724,10.485999999999999,-0.392,35.8,49.2,1006.7
0.392,10.3978,-0.49979999999999997,35.8,49.2,1006.7
0.4214,10.691799999999999,-0.5684,35.8,49.1,1006.7
0.3528,10.9564,-0.6174,35.8,49.2,1006.6
0.3038,10.4664,-0.5194,35.8,49.1,1006.6
0.3822,10.29,-0.5586,35.8,49.1,1006.6
0.3822,10.8878,-0.6566,35.8,49.1,1006.6
0.5095999999999999,11.3288,-0.588,35.8,49.1,1006.6
0.5978,10.9368,-0.5292,35.8,49.2,1006.6
0.4508,10.691799999999999,-0.5978,35.8,49.2,1006.6
0.34299999999999997,10.5742,-0.6076,35.8,49.1,1006.6
-0.0588,10.4076,-0.7056,35.8,49.2,1006.5
0.1176,9.9666,-0.49,35.8,49.1,1006.5
0.0882,10.4272,-0.539,35.8,49.1,1006.5
0.2842,10.2508,-0.5684,35.8,49.1,1006.5
0.4508,10.828999999999999,-0.5488,35.8,49.1,1006.5
0.49,10.4958,-0.5488,35.8,49.1,1006.5
0.1568,10.417399999999999,-0.6272,35.8,49.1,1006.5
0.5292,10.9956,-0.588,35.8,49.2,1006.5
0.2842,10.3684,-0.539,35.8,49.1,1006.5
0.2646,10.878,-0.7448,35.8,49.1,1006.5
0.49,10.0646,-0.6076,35.8,49.1,1006.4
0.5292,10.584,-0.6076,35.8,49.1,1006.4
0.8134,10.211599999999999,-0.441,35.8,49.1,1006.4
0.4606,11.1524,-0.6272,35.8,49.1,1006.4
0.3626,10.6428,-0.6958,35.8,49.1,1006.4
0.2744,10.927,-0.6859999999999999,35.8,49.1,1006.4
0.4018,9.6236,-0.4606,35.8,49.1,1006.3
0.5194,10.339,-0.6664,35.8,49.1,1006.3
0.25479999999999997,11.2308,-0.6664,35.8,49.1,1006.3
0.4018,10.897599999999999,-0.539,35.8,49.1,1006.3
0.4018,10.838799999999999,-0.5684,35.8,49.1,1006.3
0.48019999999999996,10.7212,-0.5781999999999999,35.8,49.1,1006.3
0.294,11.0152,-0.6076,35.8,49.1,1006.3
0.3724,10.5252,-0.5586,35.8,49.1,1006.3
0.539,11.0936,-0.539,35.8,49.0,1006.2
0.1862,10.554599999999999,-0.6859999999999999,35.8,49.1,1006.2
-0.0098,10.280199999999999,-0.6566,35.8,49.1,1006.2
0.5292,10.4664,-0.539,35.8,49.1,1006.2
0.6272,10.584,-0.5684,35.8,49.1,1006.2
0.7153999999999999,10.2704,-0.588,35.8,49.1,1006.2
0.6076,10.6624,-0.5978,35.8,49.1,1006.2
0.49979999999999997,10.3096,-0.539,35.8,49.1,1006.2
0.6174,10.3782,-0.5586,35.8,49.1,1006.2
0.6467999999999999,10.1136,-0.6467999999999999,35.8,49.0,1006.1
0.3822,10.633,-0.637,35.8,49.0,1006.1
0.2744,10.348799999999999,-0.49979999999999997,35.8,49.1,1006.1
0.3332,10.388,-0.5194,35.8,49.0,1006.1
0.43119999999999997,10.7408,-0.6272,35.8,49.0,1006.1
0.637,10.5056,-0.588,35.8,49.0,1006.1
0.441,10.4958,-0.5684,35.8,49.1,1006.1
0.392,10.770199999999999,-0.5978,35.8,49.1,1006.1
0.3822,10.9368,-0.588,35.8,49.1,1006.1
0.48019999999999996,10.3978,-0.588,35.8,49.1,1006.1
0.32339999999999997,10.8486,-0.5781999999999999,35.8,49.0,1006.1
0.3038,10.6526,-0.5684,35.8,49.1,1006.1
0.539,10.623199999999999,-0.5978,35.8,49.1,1006.0
0.49979999999999997,10.9466,-0.588,35.8,49.0,1006.1
0.34299999999999997,10.7506,-0.588,35.8,49.1,1006.0
0.32339999999999997,10.5056,-0.5586,35.8,49.1,1006.0
0.49,10.4468,-0.5978,35.8,49.1,1006.0
0.49979999999999997,10.5938,-0.5978,35.8,49.1,1006.0
0.2646,10.6624,-0.5781999999999999,35.8,49.0,1006.0
0.3626,10.388,-0.5586,35.8,49.0,1006.0
0.4508,10.4566,-0.588,35.8,49.0,1006.0
0.4606,10.584,-0.6076,35.8,49.0,1005.9
0.1568,9.731399999999999,-0.5292,35.9,49.1,1005.9
0.0588,10.1626,-0.5488,35.9,49.0,1005.9
0.5095999999999999,10.5644,-0.5781999999999999,35.9,49.0,1005.9
0.3528,10.8486,-0.5978,35.9,49.1,1005.9
0.4214,11.0936,-0.5781999999999999,35.9,49.0,1005.9
0.3038,10.9564,-0.5684,35.9,49.0,1005.9
0.3724,10.9956,-0.6174,35.9,49.0,1005.9
0.5194,10.8584,-0.6174,35.9,49.0,1005.9
0.3528,11.034799999999999,-0.5978,35.9,49.0,1005.9
0.3724,10.5252,-0.588,35.9,49.0,1005.9
0.3724,10.339,-0.5292,35.9,49.1,1005.9
-0.4214,7.497,-0.7644,35.9,49.1,1005.8
0.1372,11.221,-0.7056,35.9,49.0,1005.9
0.48019999999999996,11.6228,-0.6958,35.9,49.1,1005.9
0.48019999999999996,11.2896,-0.5684,35.9,49.1,1005.9
0.5095999999999999,11.514999999999999,-0.588,35.9,49.0,1005.9
0.4508,11.025,-0.6076,35.9,49.0,1005.8
0.4018,10.1332,-0.5684,35.9,49.0,1005.9
0.1666,9.388399999999999,-0.6272,35.9,49.0,1005.9
0.392,11.720799999999999,-0.7153999999999999,35.9,49.1,1005.9
0.5781999999999999,11.113199999999999,-0.7252,35.9,49.0,1005.9
0.34299999999999997,10.633,-0.5488,35.9,49.1,1005.9
0.441,9.731399999999999,-0.49979999999999997,35.9,49.1,1005.9
0.34299999999999997,10.633,-0.49979999999999997,35.9,49.1,1005.9
0.4214,11.0642,-0.6076,35.9,49.0,1005.9
0.5095999999999999,10.7996,-0.6076,35.9,49.0,1005.9
0.34299999999999997,10.4468,-0.6566,35.9,49.1,1005.9
0.3038,10.770199999999999,-0.588,35.9,49.0,1005.9
0.32339999999999997,10.6722,-0.6076,35.9,49.0,1005.8
0.3332,10.8192,-0.588,35.9,49.0,1005.9
0.32339999999999997,10.6526,-0.6076,35.9,49.0,1005.8
0.3822,10.5938,-0.5781999999999999,35.9,49.0,1005.9
0.41159999999999997,10.535,-0.5781999999999999,35.9,49.0,1005.9
0.4018,10.633,-0.5684,35.9,49.0,1005.9
0.4214,10.623199999999999,-0.588,35.9,49.0,1005.9
0.3822,10.6134,-0.5978,35.9,49.0,1005.9
0.392,10.633,-0.588,35.9,49.0,1005.9
0.4018,10.691799999999999,-0.5781999999999999,35.9,49.0,1005.9
0.3822,10.6134,-0.5684,35.9,49.0,1005.9
0.3822,10.5938,-0.588,35.9,49.0,1005.9
0.3822,10.6428,-0.6272,35.9,49.0,1005.8
0.4018,10.682,-0.6272,35.9,49.0,1005.9
0.3822,10.6722,-0.6076,35.9,49.0,1005.8
0.3724,10.6134,-0.5978,35.9,49.0,1005.8
0.3724,10.5644,-0.588,35.9,49.0,1005.8
0.392,10.633,-0.5781999999999999,35.9,49.0,1005.8
0.392,10.6722,-0.5978,35.9,49.0,1005.8
0.392,10.6134,-0.5781999999999999,35.9,49.0,1005.8
0.3822,10.584,-0.5781999999999999,35.9,49.0,1005.8
0.3822,10.5938,-0.588,35.9,49.0,1005.8
0.392,10.6526,-0.588,35.9,49.0,1005.8
0.392,10.682,-0.588,35.9,49.0,1005.8
0.3822,10.6134,-0.588,35.9,49.0,1005.8
0.392,10.584,-0.5684,35.9,49.0,1005.9
0.3822,10.5938,-0.588,35.9,49.0,1005.8
0.3822,10.6722,-0.6076,35.9,49.0,1005.9
0.3724,10.6624,-0.6076,35.9,49.0,1005.9
0.3822,10.623199999999999,-0.588,35.9,48.9,1005.8
0.3822,10.6036,-0.5781999999999999,35.9,49.0,1005.8
0.3822,10.623199999999999,-0.5978,35.9,49.0,1005.8
0.4018,10.633,-0.6076,35.9,49.0,1005.8
0.4018,10.6428,-0.588,35.9,49.0,1005.9
0.392,10.6134,-0.588,35.9,49.0,1005.8
0.3822,10.6134,-0.5781999999999999,35.9,49.0,1005.8
0.3822,10.6526,-0.5978,35.9,49.0,1005.8
0.3724,10.6428,-0.588,35.9,49.0,1005.9
0.3822,10.633,-0.6076,35.9,49.0,1005.9
0.3724,10.633,-0.5978,35.9,49.0,1005.8
0.3724,10.633,-0.588,35.9,49.0,1005.8
0.3724,10.6134,-0.5978,35.9,49.0,1005.8
0.3724,10.623199999999999,-0.588,35.9,49.0,1005.9
0.3822,10.623199999999999,-0.5978,35.9,49.0,1005.8
0.392,10.6428,-0.588,35.9,49.0,1005.8
0.392,10.623199999999999,-0.5781999999999999,35.9,49.0,1005.8
0.3822,10.6036,-0.5781999999999999,35.9,49.0,1005.8
0.392,10.633,-0.588,35.9,49.0,1005.8
0.392,10.6624,-0.588,35.9,49.0,1005.8
0.4018,10.6526,-0.5978,35.9,48.9,1005.8
0.392,10.623199999999999,-0.5978,35.9,48.9,1005.8
0.3822,10.6134,-0.588,35.9,48.9,1005.8
0.3724,10.5938,-0.588,35.9,48.9,1005.7
-0.2842,8.4868,-0.098,35.9,49.2,1005.7
0.833,7.8988,-0.7644,35.9,49.9,1005.9
-0.637,0.7153999999999999,-0.3626,35.8,50.5,1006.0
-1.1074,2.1952,-0.1568,35.8,50.7,1006.1
-4.9784,2.2344,1.7835999999999999,35.8,50.5,1006.3
-0.7056,2.7342,-0.1862,35.8,49.9,1006.7
-7.0462,3.1066,-1.7738,35.8,49.5,1006.7
-7.252,9.4178,-3.9494,35.8,49.3,1006.7
-4.5472,-3.5181999999999998,3.7534,35.8,49.3,1006.7
4.312,0.2842,-13.23,35.8,49.1,1006.8
-4.8902,0.8623999999999999,-10.975999999999999,35.8,49.0,1006.8
-10.2312,0.441,-0.833,35.8,49.0,1006.8
-10.1822,0.9702,-3.871,35.8,49.0,1006.7
-8.908199999999999,1.2054,-6.0466,35.8,49.0,1006.7
-9.065,1.127,-5.4292,35.8,49.0,1006.7
-9.1042,1.1368,-5.448799999999999,35.8,49.0,1006.8
-9.0846,1.1466,-5.448799999999999,35.8,49.0,1006.8
-9.0846,1.1368,-5.4782,35.8,49.0,1006.8
-9.0748,1.1368,-5.4879999999999995,35.8,49.0,1006.8
-9.0846,1.1368,-5.4978,35.8,49.0,1006.7
-9.0748,1.1466,-5.4978,35.8,49.0,1006.8
-9.065,1.1368,-5.4978,35.8,49.0,1006.8
-9.0748,1.1368,-5.4978,35.8,49.0,1006.7
-9.0748,1.127,-5.4879999999999995,35.8,49.0,1006.8
-9.0748,1.1466,-5.4978,35.8,49.0,1006.8
-9.0748,1.1466,-5.5076,35.8,49.0,1006.8
-9.0846,1.1368,-5.4879999999999995,35.8,49.0,1006.8
-9.0748,1.127,-5.4978,35.8,49.0,1006.8
-9.065,1.1466,-5.4978,35.8,49.0,1006.8
-9.065,1.1368,-5.5076,35.8,49.0,1006.8
-9.0748,1.127,-5.4978,35.8,49.0,1006.8
-9.0552,1.1368,-5.4978,35.8,49.0,1006.8
-9.0748,1.1368,-5.5076,35.8,49.0,1006.8
-9.065,1.1368,-5.5076,35.8,48.9,1006.8
-9.065,1.1368,-5.5076,35.8,48.9,1006.8
-9.0748,1.1368,-5.517399999999999,35.8,48.9,1006.8
-9.065,1.1368,-5.517399999999999,35.8,48.9,1006.8
-9.0748,1.1466,-5.4978,35.8,48.9,1006.8
-9.0748,1.127,-5.4978,35.8,48.9,1006.8
-9.0748,1.1368,-5.5076,35.8,48.9,1006.8
-9.065,1.1368,-5.4978,35.8,48.9,1006.8
-9.065,1.1466,-5.517399999999999,35.7,48.9,1006.8
-9.065,1.1466,-5.5076,35.7,48.9,1006.7
-9.065,1.127,-5.4978,35.7,48.9,1006.7
-9.065,1.1466,-5.5076,35.7,48.9,1006.8
-9.0748,1.127,-5.5076,35.7,48.9,1006.8
-9.0552,1.1368,-5.4978,35.7,49.0,1006.8
-9.065,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.065,1.1368,-5.5076,35.7,48.9,1006.7
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.065,1.127,-5.5076,35.7,48.9,1006.7
-9.065,1.1368,-5.4978,35.7,48.9,1006.7
-9.065,1.1368,-5.5076,35.7,48.9,1006.7
-9.065,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.127,-5.517399999999999,35.7,49.0,1006.7
-9.065,1.1368,-5.5076,35.7,48.9,1006.7
-9.065,1.1466,-5.5076,35.7,48.9,1006.7
-9.0748,1.1368,-5.5076,35.7,48.9,1006.7
-9.0748,1.1368,-5.5076,35.7,48.9,1006.8
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.1368,-5.537,35.7,48.9,1006.7
-9.0552,1.1466,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.065,1.1368,-5.517399999999999,35.7,48.9,1006.8
-9.0552,1.1368,-5.5272,35.7,48.9,1006.8
-9.0552,1.1368,-5.5076,35.7,48.9,1006.8
-9.0552,1.1368,-5.5076,35.7,48.9,1006.7
-9.0552,1.127,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.1368,-5.5272,35.7,48.9,1006.7
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.8
-9.0552,1.1466,-5.5272,35.7,48.9,1006.7
-9.0552,1.127,-5.5272,35.7,48.9,1006.8
-9.0552,1.127,-5.5272,35.7,48.9,1006.8
-9.0552,1.1368,-5.517399999999999,35.7,48.9,1006.7
-9.0552,1.1368,-5.5272,35.7,48.8,1006.7
